acronym,x,y,gc1,gc2,gc3,gc4,bio1,bio2,bio3,bio4,bio8,bio12,bio15,bio18
ace,2905328.9474196844,2016128.3562838435,0.2405,0.0785,0.2035,0.4774,16.1916666666667,12.8166666666667,0.410790598290598,6.56799517402842,9.48333333333333,606.5,56.9958406604604,47.1
ado,2845804.665792428,2201341.035474444,0.4225,0.0626,0.1005,0.4144,13.0333333333333,11.766666666666701,0.426328502415459,5.71884179840215,7.31666666666667,1005.4000000000001,61.293560306748,69.4
ads,3434819.738670415,1811995.118969956,0.1821,0.4345,0.1518,0.2316,16.4458333333333,10.9583333333333,0.407372986369269,5.78738668977369,13.4,901.5,36.846574379943,144
agu,3371519.72107435,2095746.4154939335,0.1344,0.6508,0.1823,0.0324,11.6541666666667,12.391666666666701,0.397168803418803,6.72395508385481,13.55,517.4,33.3021887266634,103.2
agd,3036573.3869538982,1889672.4441721053,0.0613,0.0209,0.1345,0.7832,15.4125,12.391666666666701,0.387239583333333,6.988891347898269,8.36666666666667,667,52.5424351060391,48.3
ani,2941278.646183857,1807507.0305606488,0.0201,0.0595,0.0615,0.8589,14.9958333333333,12.524999999999999,0.401442307692308,6.62939248324986,8.36666666666667,694.7,64.9362804847879,48.3
alb,3227365.3289255314,2237539.319853544,0.3866,0.3099,0.0355,0.2681,10.516666666666701,10.9333333333333,0.39902676399026804,5.88759610357129,4.63333333333333,737.5,27.0983872186586,113.69999999999999
ale,3606049.5201310525,2186289.2062587296,0.0416,0.9082,0.0339,0.0163,8.90416666666667,12.524999999999999,0.41336633663366296,6.4002293401143495,10.8333333333333,687.0999999999999,24.707426837674,201
aln,3459743.5218636207,2062655.177142381,0.0485,0.604,0.3153,0.0322,14.508333333333301,11.850000000000001,0.389802631578947,6.71287207647751,15.1833333333333,383.6,28.013032030184498,81
ali,3033079.3556038393,1995250.488846959,0.138,0.2498,0.0843,0.5279,15.7291666666667,12.675,0.39733542319749204,6.8791337434742506,8.66666666666667,610.5,54.0205090909312,42.800000000000004
